Device_Type,Frame_Type,Device_ID,Timestamp(ms),Flags,Length,Data
0x0104,0x1400,13,0.587000,01,08,00000000c0000000
0x0204,0x0080,10,1.369000,01,08,8002000000000000
0x0204,0x0080,14,1.515000,01,08,00000500000d0402
0x0104,0x1400,1,1.807000,01,08,00000000c0000000
0x0104,0x1400,14,2.374000,01,08,00000000c0000000
0x0204,0x1400,15,3.160000,01,08,00004000c0000000
0x0204,0x0080,8,3.470000,01,08,0002000000000000
0x0204,0x0080,13,3.618000,01,08,8002000000000000
0x0204,0x1400,0,3.766000,01,08,00000000c0000000
0x0204,0x0080,2,5.580000,01,08,00000500000a0402
0x0104,0x1400,2,6.286000,01,08,00000000c0000000
0x0104,0x1440,2,6.476000,01,08,0000000000000000
0x0104,0x14c0,2,6.712000,01,08,00000000000000ae
0x0104,0x1700,2,6.905000,01,08,0000000000000000
0x0804,0x1640,20,7.098000,01,06,0000000000000000
0x0104,0x1780,2,7.271000,01,04,0000000000010803
0x0804,0xf900,11,7.380000,01,08,aaaaaaaaaaaabb01
0x0804,0xf940,11,7.594000,01,08,aa0000000001fb06
0x0204,0x0080,15,7.736000,01,08,0000000000000000
0x0804,0x1400,20,8.099000,01,08,0000000000000000
0x0204,0x0080,4,8.817000,01,08,0000000000000000
0x0804,0x1440,20,9.114000,01,08,0000000000000000
0x0804,0x1480,20,10.104000,01,08,56adff0000000000
0x0104,0x1400,13,10.600000,01,08,00000000c0000000
0x0104,0x1440,13,10.788000,01,08,0000000000000000
0x0204,0x0080,10,10.972000,01,08,8002000000000000
0x0104,0x14c0,13,11.118000,01,08,00000000000000ae
0x0804,0x1740,20,11.263000,01,08,0000000000000014
0x0104,0x1700,13,11.612000,01,08,0000000000000000
0x0104,0x1400,1,11.759000,01,08,00000000c0000000
0x0104,0x1780,13,11.906000,01,04,0000000000010803
0x0104,0x1440,1,12.012000,01,08,0000000000000000
0x0204,0x0080,14,12.161000,01,08,00000500000d0402
0x0104,0x14c0,1,12.305000,01,08,00000000000000ae
0x0104,0x1400,14,12.451000,01,08,00000000c0000000
0x0104,0x1440,14,12.663000,01,08,0000000000000000
0x0104,0x1700,1,12.811000,01,08,0000000000000000
